article_id,study_id,citation,citation_full,authors,title,year,journal,pub_type,email,suppl_articles,country,easting,northing,KPG_zone,site_id,soil_text_class,USDA_soil_class,FAO_soil_class,soil_comments,field_hist_descr,descr_field_history,interv_start,interv_end,last_meas_month,last_meas_year,total_months,interv_type,multiple_interv_codes,treatments,treatment_details,study_design,experimental_design,spatial_replic,temporal_replic,outcome,sampling_equip,open_closed,transp_opaque,sampling_equip_descr,quantif_method,comments,reviewer
8,,Aita (2018),"Aita C, Tonetto F, Gonzatto R, Pujol SB, Schirmann J, Depoi JdS, Mezzalira AP, Hochscheid M, Zirbes E, Giacomini SJ. Nitrous Oxide Emissions in a Wheat/Corn Succession Combining Dairy Slurry and Urea as Nitrogen Sources. Revista Brasileira de Ciencia do Solo. 2018: 42; e0170138","Aita C, Tonetto F, Gonzatto R, Pujol SB, Schirmann J, Depoi JdS, Mezzalira AP, Hochscheid M, Zirbes E, Giacomini SJ.",Nitrous Oxide Emissions in a Wheat/Corn Succession Combining Dairy Slurry and Urea as Nitrogen Sources.,2018,Revista Brasileira de Ciencia do Solo,Article,celsoaita@gmail.com,,Brazil,238126,6709850,Cfa,,,,Arenosols,"Argissolo Vermelho Distrófico arênico - Hapludalf (Santos et al., 2013; Soil Survey Staff, 1999).",Yes,"The area was left fallow for one year prior to the start of the experiment, and in the two years before the fallow period, cultivated with no-tillage soybean [Glicine max (L.) Merr.] in summer and ryegrass (Lolium multiflorum L.) in winter",June,2015,May,2016,12,Multiple-intervention,"Organic fertilizer, Nitrification inhibitor",6,"Fertilization treatments applied at sowing consisted of: T1 = no fertilization (Control);
 T2 = surface-broadcast urea-N (Urea-N); T3 = surface-broadcast DS (DSs); T4 =
 surface-broadcast DS with DCD (DSs + DCD); T5 = shallow-injected DS (DSi); and
 T6 = shallow-injected DS with DCD (DSi + DCD). All DS treatments were accompanied
 by posterior urea side-dressing, to complement the crop N demand. The treatments were
 evaluated in one growing season, applied to wheat (winter 2015) and reapplied to the
 same plots with corn (summer 2016).",CI,Randomized Complete Block,4 per treatment,No,N2O,Static chamber,,Opaque,"Nitrous oxide emissions were evaluated using static chambers, as described by Aita et al. (2014): ""insulated, fan-mixed, non–flow-through, non–steady-state chambers (40 cm length, 35 cm width, and 20 cm height). One galvanized steel base per plot was placed adjacent to a maize row and inserted into the soil (5 cm). With PS injection (PSi and PSi + DCD), the bases were centered on the injection furrow and included the same amounts of PS as the broadcast treatment. The bases were left in place for the duration of the measurement period. Air samples were analyzed for N2O concentration within 32 h of sampling on a gas chromatograph (GC-2014, Shimadzu Corp.) equipped with an electron capture detector.""","gas chromatograph (GC-2014, Shimadzu Corp.)",Stripped definition of sampling equipment from Aita (2014),CRA
9,,Akbolat (2009),"Akbolat D, Evrendilek F, Coskan A, Ekinci K. Quantifying soil respiration in response to short-term tillage practices: a case study in southern Turkey. Acta Agriculturae Scandinavica. 2009: 59(1); 50-56.","Akbolat D, Evrendilek F, Coskan A, Ekinci K.",Quantifying soil respiration in response to short-term tillage practices: a case study in southern Turkey.,2009,Acta Agriculturae Scandinavica,Article,fevrendilek@yahoo.com,,Turkey,284152,4180904,Csa,,Loam,,,"The main soil properties of the experimental site for the depth of 030 cm were as follows: 33.9% sand, 22.3% clay, 1.7% soil organic matter",No,,October,2006,November,2006,2,Tillage,,5,"Four tillage treatments of moldboard plow (PT), rotary tiller (RT), chisel plow (CT), and heavy disk harrow (DT) were applied and compared in terms of their soil CO2 effluxes with one another and no-tillage (NT) practice as the control treatment in the field experiment",CI,Randomized Complete Block,3 per treatment,No,CO2,,,,"soil respiration was measured using a CFX-2 soil CO2 flux system (PP Systems, Hitchin, UK) consisting of integral CO2 analyser and H2O sensor, soil respiration chamber, and soil temperature probe (Blanke, 1996; Sainju et al., 2006). A soil CO2 flux chamber of 21 cm in diameter and 12 cm in height was installed 1.5 cm deep.",CO2 flux chamber,,CRA
10,,Akbolat (2012),"Akbolat D, Senyigit U. Short-Term Effect of Different Irrigation Water Levels on Soil Carbon Dioxide (CO2) Emission. Fresnius Environmental Bulletin. 2012: 21(12a); 3869-3873.","Akbolat D, Senyigit U.",Short-Term Effect of Different Irrigation Water Levels on Soil Carbon Dioxide (CO2) Emission,2012,Fresnius Environmental Bulletin,Article,"davutakbolat@sdu.edu.tr, OR 
 davut_akbolat@yahoo.com; both are listed",,Turkey,282995,4190898,Csa,,Clay loam,,,"The soils within the research area are clayloam soils having a stable infiltration rate of 12 mm/h, no salinity and ground water problem, and a low and midalkaline character",No,,NR,2010,NR,2010,12,Irrigation,,3,"The study includes irrigation treatments with the
 three different water levels (S1, S2 and S3). Irrigation was
 performed using the drip irrigation method twice a week. Accordingly, irrigation water was applied in a
 way that the daily open water surface evaporation values
 measured in Class A evaporation pan at irrigation interval
 cumulatively provide 25% (S1), 50% (S2), and 100% (S3).
 The total amount of applied irrigation water to the treatments
 was calculated by equations 1, 2 and 3.
 S xE xP p 1= 0,25 (1)
 S xE xP p 2 = 0,50 (2)
 S xE xP p 3 =1,00 (3)
 In the equation, EP refers to the cumulative evaporation
 amount from the Class A pan (mm), and P stands for
 the percentage of wetted area.",CI,Randomized Complete Block,3 per treatment,No,CO2,,,,"The system has a CO2 measurement
 range of 0-2000 ppm, an accuracy of 1%, a temperature
 range of 0-45 °C, and the number of stored records
 of the system is 1000. The system operates on the
 basis of differences between CO2 values in the chamber
 and normal atmosphere.","Soil carbon dioxide (CO2) emission was measured using (Model No EGM-4 PP SYSTEM, Haverhill UK) “soil CO2 efflux measurement system"" (control interface module with integral analyzer, equipped with humidity (H2O) sensor, CFX-2 soil respiration chamber and soil/air temperature probe)",Definition of sampling equipment could be stripped from Akbolat above,CRA
11,,Akbolat (2014),"Akbolat D, Kucukalbay M. Influence of Seed Bed Preparation Methods in Chickpea Cultivation on Soil Carbon Dioxide (CO2) Emissions. Polish Journal of Environmental Studies. 2014: 23(4); 1101-1106","Akbolat D, Kucukalbay M",Influence of Seed Bed Preparation Methods in Chickpea Cultivation on Soil Carbon Dioxide (CO2) Emissions,2014,Polish Journal of Environmental Studies,Article,davutakbolat@sdu.edu.tr,,Turkey,708122,4252887,Csa,,Clay,,,"Soil texture of the study area is of clay (C) class consisting of 42.28% clay, 28.06% silt, and 29.66% sand, with an organic matter content of 2.12%.",No,,April,2013,June,2013,3,Tillage,,3,Conventional tillage is descibed as deep tillage with moldboard plow in autumn followed by a secondary seedbed preparation with cultivators in the spring before planting. Reduced tillage is defined as chisel plowing in spring followed by secondary tillage with cultivator and seeding. The direct seeding method was applied with a seeder mounted on a rigid tine cultivator in this study.,CI,Randomized Complete Block,3 per treatment,No,CO2,,,,"In-situ soil respiration was measured using a CFX-2 soil CO2 flux system (PP Systems, Hitchin, UK) consisting of integral CO2 analyzer and H2O sensor, soil respiration chamber, and soil temperature probe.","CO2 flux system (PP Systems, Hitchin, UK)",,CRA
12,,Akbolat (2016),"Akbolat D, Barut ZB, Turgut MM, Çelik I. Soil CO2 emissions under conventional and conservational tillage methods in soybean cultivation in Cukurova plain of Turkey. Scientific Papers Series A. Agronomy. 2016: 59; 15-20.","Akbolat D, Barut ZB, Turgut MM, Çelik I.",Soil CO2 emissions under conventional and conservational tillage methods in soybean cultivation in Cukurova plain of Turkey,2016,Scientific Papers Series A Agronomy,Article,davutakbolat@sdu.edu.tr,,Turkey,707752,4104421,Csa,,Clay,,,"The soil texture of the study area is clay
 (C) class consisting of 50% clay, 33 % silt and
 17% sand with an organic matter content of
 0.9% (Barut et al., 2012).",No,,June,2010,Unclear,Unclear,Unclear,Tillage,,4,"Chisel tillage = Stubble burning, Chisel tillage one pass (tillage
 depth 35 cm), disc harrow two pass (depth of 15
 cm) followed by scraper two pass (depth of 5 cm),
 plus Single single-seed pneumatic planter (seeding
 depth of 5 cm). Disc Tillage = Stubble chopping, Heavy disc harrow, two pass
 (tillage depth of 18 cm, tillage width of 200 cm)
 followed by scrapper, two pass (tillage depth of 5
 cm, tillage width of 200 cm) plus single-seed
 pneumatic planter (seeding dept of 5 cm). Rotary Tillage = Stubble chopping, Rototiller, one pass (tillage depth
 of 15 cm, tillage width of 200 cm, followed by
 scrapper, two pass (tillage depth of 5 cm, tillage
 width of 200 cm), plus single-seed pneumatic
 planter (seeding dept of 5 cm). Direct seeding = Direct seeder, (working width of 200 cm, seeding depth of 5 cm)",CI,Randomized Complete Block,3 per treatment,No,CO2,,,,"In-situ soil respiration was measured using a
 CFX-2 soil CO2 flux system (PP Systems,
 Hitchin, UK) consisting of an integral CO2
 analyzer and H2O sensor, soil respiration
 chamber, and soil temperature probe (Akbolat
 et al., 2009). A soil
 CO2 emission chamber was installed 1.5 cm
 deep into the randomly selected locations for
 the plots, and thus was isolated from the outer
 atmosphere.","Measurements of soil net CO2
 emissions in g m-2 h-1 are based on
 concentration differences between air entering
 and leaving the chamber and the flow rate
 under normal soil atmosphere exchanges, with
 an accuracy better than 1% and 2% for CO2
 and H2O concentrations, respectively. The measurements were taken
 0, 1, 4, 5, 7, 8, 11, 13, 19, 22, 30, 37, and 55
 days after tillage. First the measurements of
 soil CO2 emissions were taken five minutes
 after tillage. Nine records were taken on the
 same randomly selected points from every plot
 for each measurement.The trial was completed
 when CO2 emission reached contant level. In
 addition, evaporation (H2O emissions) and soil
 temperature were concomitantly measured.","End date for this experiment is unclear, as they have two potential start dates (June 3 and July 26th 2010) though it reads as 1 overall experiment. End dates could possibly be July or September following the 55 day period in which they took measurements.",JR
13,a,Akiyama (2002),"Akiyama H, Tsuruta H. Effect of Chemical Fertilizer form on N2O, NO, and NO2 Fluxes from Andisol Fields. Nutrient Cycling in Agroecosystems. 2002: 63(2-3); 219-230.","Akiyama H, Tsuruta H.","Effect of Chemical Fertilizer form on N2O, NO, and NO2 Fluxes from Andisol Fields",2002,Nutrient Cycling in Agroecosystems,Article,ahiroko@affrc.go.jp,,Japan,418884,3984323,Cfa,First Cultivation,,Andisol,,"soil type was Andisol, which is formed by the weathering of volcanic ash under well-drained conditions",No,,June,1997,September,1997,4,Chemical fertiliser,Chemical fertilizer,4,"1) A controlled-release fertilizer made from Urea coated with polyolefin resin, 2) A controlled-release fertilizer made from calcium nitrate coated in polyolefin resin, 3) Calcium nitrate, and 4) No nitrogen.",CI,Randomized Complete Block,"2 per treatment for treatments of A controlled-release fertilizer made from calcium nitrate coated in polyolefin resin, and Calcium nitrate. No replication for treatments of A controlled-release fertilizer made from Urea coated with polyolefin resin, and No nitrogen.",No,N2O,,,,"fluxes were measured using an automated flux monitoring system (Akiyama et al., 2000)","gas chromatograph
 (GC) equipped with an electron capture
 detector (ECD) (GC-14B; Shimadzu Corp., Japan)
 at 345 _C, controlled by Chromatpac (CR-7A; Shimadzu
 Corp., Japan) and a program controller (PRG
 12A; Shimadzu Corp., Japan).",,CRA
,b,Akiyama (2002),"Akiyama H, Tsuruta H. Effect of Chemical Fertilizer form on N2O, NO, and NO2 Fluxes from Andisol Fields. Nutrient Cycling in Agroecosystems. 2002: 63(2-3); 219-230.","Akiyama H, Tsuruta H.","Effect of Chemical Fertilizer form on N2O, NO, and NO2 Fluxes from Andisol Fields",2002,Nutrient Cycling in Agroecosystems,Article,ahiroko@affrc.go.jp,,Japan,418884,3984323,Cfa,Second Cultivation,,Andisol,,"soil type was Andisol, which is formed by the weathering of volcanic ash under well-drained conditions",No,,September,1997,November,1997,3,Chemical fertiliser,,3,"1) A controlled-release fertilizer made from Urea coated with polyolefin resin, 1) A controlled-release fertilizer made from calcium nitrate coated in polyolefin resin, and 3) Calcium nitrate.",CI,Randomized Complete Block,2 per treatment,No,N2O,,,,"fluxes were measured using an automated flux monitoring system (Akiyama et al., 2000)","gas chromatograph
 (GC) equipped with an electron capture
 detector (ECD) (GC-14B; Shimadzu Corp., Japan)
 at 345 _C, controlled by Chromatpac (CR-7A; Shimadzu
 Corp., Japan) and a program controller (PRG
 12A; Shimadzu Corp., Japan).",,CRA
,c,Akiyama (2002),"Akiyama H, Tsuruta H. Effect of Chemical Fertilizer form on N2O, NO, and NO2 Fluxes from Andisol Fields. Nutrient Cycling in Agroecosystems. 2002: 63(2-3); 219-230.","Akiyama H, Tsuruta H.","Effect of Chemical Fertilizer form on N2O, NO, and NO2 Fluxes from Andisol Fields",2002,Nutrient Cycling in Agroecosystems,Article,ahiroko@affrc.go.jp,,Japan,418884,3984323,Cfa,Third Cultivation,,Andisol,,"soil type was Andisol, which is formed by the weathering of volcanic ash under well-drained conditions",No,,November,1997,April,1998,6,Chemical fertiliser,,1,Ammonium phosphate,CI,Split/strip plot,6 per treatment,No,N2O,,,,"fluxes were measured using an automated flux monitoring system (Akiyama et al., 2000)","gas chromatograph
 (GC) equipped with an electron capture
 detector (ECD) (GC-14B; Shimadzu Corp., Japan)
 at 345 _C, controlled by Chromatpac (CR-7A; Shimadzu
 Corp., Japan) and a program controller (PRG
 12A; Shimadzu Corp., Japan).",Number of replications infered from other studies.,CRA
,a,Akiyama (2003),"Akiyama H, Tsuruta H. Effect of Organic Matter Application on N2O, NO, and NO2 Fluxes from an Andisol Field. Global Biogeochemical Cycles. 2003: 17(4).","Akiyama H, Tsuruta H.","Effect of Organic Matter Application on N2O, NO, and NO2 Fluxes from an Andisol Field. Global Biogeochemical Cycles",2003,Global Biogeochemical Cycles,Article,ahiroko@affrc.go.jp,,Japan,405464,3993702,Cfa,Experiment 1,,Andisol,,"soil type was Andisol, which is formed by the weathering of volcanic ash under well-drained conditions,",No,,May,1999,May,2000,12,Multiple-intervention,"Organic fertlizer, Chemical fertilizer",3,"Oilcake (the machine-dried residue of rape seed from which the oil had been squeezed), Cattle manure, and Urea",CI,Randomized Complete Block,2 per treatment,No,N2O,,Closed,,"automated flux monitoring system [Akiyama et al., 2000]. The system used six closed polycarbonate chambers, each with a cross-sectional area of 8100 cm2 and a height of 45 cm. For the flux measurement, the lid of each chamber was closed automatically for 30 min, and the air inside was drawn to the analysis room through a 10-m-long Teflon tube.","gas chromatograph (GC) equipped with an electron capture detector (GC-14B; Shimadzu Corp., Kyoto, Japan).",,CRA
14,b,Akiyama (2003),"Akiyama H, Tsuruta H. Effect of Organic Matter Application on N2O, NO, and NO2 Fluxes from an Andisol Field. Global Biogeochemical Cycles. 2003: 17(4).","Akiyama H, Tsuruta H.","Effect of Organic Matter Application on N2O, NO, and NO2 Fluxes from an Andisol Field. Global Biogeochemical Cycles",2003,Global Biogeochemical Cycles,Article,ahiroko@affrc.go.jp,,Japan,405464,3993702,Cfa,Experiment 2,,Andisol,,"soil type was Andisol, which is formed by the weathering of volcanic ash under well-drained conditions,",No,,May,2000,September,2000,5,Multiple-intervention,"Organic fertlizer, Chemical fertilizer",3,"Fishmeal (powdered and machine dried), dried cattle excreta (collected from a shed housing young cattle), and urea",CI,Randomized Complete Block,2 per treatment,No,N2O,,Closed,,"automated flux monitoring system [Akiyama et al., 2000]. The system used six closed polycarbonate chambers, each with a cross-sectional area of 8100 cm2 and a height of 45 cm. For the flux measurement, the lid of each chamber was closed automatically for 30 min, and the air inside was drawn to the analysis room through a 10-m-long Teflon tube.","gas chromatograph (GC) equipped with an electron capture detector (GC-14B; Shimadzu Corp., Kyoto, Japan).",,CRA
15,,Akiyama (2003),"Akiyama H, Tsuruta H. Nitrous Oxide, Nitric Oxide, and Nitrogen Dioxide Fluxes from Soils after Manure and Urea Application. Journal of Environmental Quality. 2003: 32(2); 423-431.","Akiyama H, Tsuruta H","Nitrous Oxide, Nitric Oxide, and Nitrogen Dioxide Fluxes from Soils after Manure and Urea Application",2003,Journal of Environmental Quality,Article,ahiroko@affrc.go.jp,,Japan,405464,3993702,Cfa,,,Andisol,,"soil type was Andisol, which is formed by the weathering of volcanic ash under well-drained conditions",No,,June,1998,May,1999,12,Multiple-intervention,"Organic fertilizer, Chemical fertilizer",3,"1) Poultry manure, 2) swine manure, and 3) urea",CI,Randomized Complete Block,2 per treatment,No,N2O,,Closed,,"automated flux monitoring system [Akiyama et al., 2000]. The system used six closed polycarbonate chambers, each with a cross-sectional area of 8100 cm2 and a height of 45 cm","gas chromatograph (GC) equipped with an electron capture detector (GC-14B; Shimadzu Corp., Kyoto, Japan).",,CRA
16,,Akiyama (2013),"Akiyama H, Morimoto S, Hayatsu M, Hayakawa A, Sudo S, Yagi K. Nitrification, ammonia-oxidizing communities, and N2O and CH4 fluxes in an imperfectly drained agricultural field fertilized with coated urea with and without dicyandiamide. Biology and Fertility of Soils. 2013: 49(2); 213-223.","Akiyama H, Morimoto S, Hayatsu M, Hayakawa A, Sudo S, Yagi K","Nitrification, ammonia-oxidizing communities, and N2O and CH4 fluxes in an imperfectly drained agricultural field fertilized with coated urea with and without dicyandiamide",2013,Biology and Fertility of Soils,Article,ahiroko@affrc.go.jp,,Japan,420403,3986158,Cfa,,Sandy clay loam,,,"The soil type of the experimental field was grey lowland soil (Fluvisols in FAO/UNESCO soil classification system).The particle size distribution was as follows: sand, 50.2 %; silt, 23.2 %; and clay, 26.6 % (sandy clay loam in the USDA classification system).",Yes,"The field had been converted from a rice paddy to an upland field and used for the cultivation of upland crops (e.g., soybean) for 6 years; it was left fallow for a year before the experiment.",June,2008,March,2009,10,Multiple-intervention,"Chemical fertilizer, nitrification inhibitor",4,"1) Control, 2) Urea, 3) Urea coated with polyolefin, 4) Urea coated with nitrification inhibitor dicyandiamide and polyolefin.",CI,Randomized Complete Block,3 per treatment,No,"CH4, N2O",,,,"The plots that received N were monitored using an automated gas sampling system (Akiyama et al. 2009), whereas the control plots were monitored manually. The systemcomprised six polycarbonate chambers connected to gas sampling units. Each chamber had a cross-sectional area of 8,100 cm2 (90_90 cm) and a height of 45 cm. Gas flux from the control plots was manually sampled using cylindrical closed chambers (diameter, 25 cm; height, 10 cm)","gas chromatograph; The concentrations of N2O and CH4 were analyzed using a GC-2014 gas chromatograph (Shimadzu, Kyoto, Japan) with a HS-2B headspace autosampler (Shimadzu).",Control plots measured emissions using distinct methods,CRA
